"Lot #","Claim #",Status,Description,VIN,"Primary Damage","Secondary Damage",Keys,"Drivability Rating",Engine,Drive,"Missing Parts",Seller,Adjuster,"Cert Received Date",Odometer,"Odometer Brand","Original Title State","Original Title Type","Sale Title State","Sale Title Type","Title Reviewed","Sale Location","Physical Location","Auction Date","Item #","Row Location","# of Runs","Days in Yard","Advance Charges",ACV,"Repair Cost","Current Bid",Reserve,"Reserve Amount","Reserve %",Reviewed,"Auction Comment"
67303623,0,"READY FOR AUCTION","2021 RANGE ROVER VELAR S",SALYJ2EX0MA321868,"WATER FLOOD",,YES,NON-STARTS,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/21/2021,0,0,0,0,0,61225,0,0,BTBA,0,0,NO,
67250833,0,"READY FOR AUCTION","2020 MERCEDES-BENZ E ",WDD1K6JB0LF123192,"WATER FLOOD",,YES,NON-STARTS,"3.0L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/20/2021,0,0,0,0,0,0,0,0,BTBA,0,0,NO,
67247083,0,"READY FOR AUCTION","2021 MERCEDES-BENZ GLC ",W1N0G8EB7MF899956,"WATER FLOOD",,YES,NON-STARTS,"2.0L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/20/2021,0,0,0,0,0,49480,0,0,BTBA,0,0,NO,
67051023,0,"READY FOR AUCTION","2022 HYUNDAI SANTA FE ",5NMS5DAL1NH467638,"FRONT END","REAR END",YES,NON-STARTS,"2.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/20/2021,0,0,0,0,0,41232,0,0,BTBA,0,0,NO,
66434703,0,"READY FOR AUCTION","2020 INFINITI QX60 ",5N1DL0MM0LC511096,"WATER FLOOD","FRONT END",YES,NON-STARTS,"3.5L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,26597,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/14/2021,0,0,0,0,0,28838,0,0,BTBA,0,0,NO,
66319423,0,"READY FOR AUCTION","2019 BMW X5 XDRIVE40I",5UXCR6C56KLL12790,"NORMAL WEAR",,YES,DRIVES,"3.0L  6","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,41539,Actual,NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/14/2021,0,0,0,0,0,53978,0,0,BTBA,0,0,NO,
65868553,0,"READY FOR AUCTION","2023 NISSAN ROGUE ",5N1BT3BBXPC691140,"FRONT END",,YES,DRIVES,"1.5L  3","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,7001,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/09/2021,0,0,0,0,0,32515,0,0,BTBA,0,0,NO,
65867603,0,"READY FOR AUCTION","2020 MERCEDES-BENZ GLC 300 ",W1N0G8DB1LF833032,"FRONT END",,YES,NON-STARTS,"2.0L  4","Rear-wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,0,"Not actual",NJ,"CERT OF TITLE-SALVAGE",NJ,"CERT OF TITLE-SALVAGE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/09/2021,0,0,0,0,0,29254,0,0,BTBA,0,0,NO,
65594423,0,"READY FOR AUCTION","2021 NISSAN ROGUE PLATINUM",JN8AT3DD0MW311333,"ALL OVER",,YES,DRIVES,"2.5L  4","All wheel drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,5743,"Not actual",NJ,"SCRAP CERTIFICATE OF TITLE",NJ,"SCRAP CERTIFICATE OF TITLE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/11/2023,0,0,0,0,0,38335,0,0,BTBA,0,0,NO,
65751903,0,"READY FOR AUCTION","2024 MINI COOPER JOHN COOPER WORKS",WMW63DL0XR3R35619,SIDE,,YES,DRIVES,"2.0L  4","Front-wheel Drive",NO,"X159 - KAJ INC","DO NOT CALL APPROVES ONLINE",8/23/2023,464,Actual,NY,"MV-907A SALVAGE CERTIFICATE",NY,"MV-907A SALVAGE CERTIFICATE",NO,"NY - NEWBURGH","NY - NEWBURGH",09/07/2023,0,0,0,0,0,54906,0,0,BTBA,0,0,NO,
