Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
PRESIDENTIAL ELECTION,,,2016,Jude Célestin,LAPEH,"207,988",19.6,,,,
PRESIDENTIAL ELECTION,,,2016,Jean-Charles Moïse,PPD,"117,349",11,,,,
PRESIDENTIAL ELECTION,,,2016,Jovenel Moïse,PHTK,"590,927",55.6,,,,
PRESIDENTIAL ELECTION,,,2016,Maryse Narcisse,FL,"95,765",9,,,,
PRESIDENTIAL ELECTION,,,2016,24 others,,"50,810",4.8,,,,
PRESIDENTIAL ELECTION,,,2016,,,,,,,,
PRESIDENTIAL ELECTION,,,2016,,,,,,,2016 legislative election,
PRESIDENTIAL ELECTION,,,2016,,,,,,,Senate election,http://psephos.adam-carr.net/countries/h/haiti/haiti20162.txt
PRESIDENTIAL ELECTION,,,2016,,,,,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Gracia DELVA,AAA,"37,323",28.5,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Marc Antoine Aldorphe,Bouclier,"20,495",15.6,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Levaillant Louis-Jeune,Inite,"16,664",12.7,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Michel Chrysostome,LAPEH,"15,978",12.2,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Patrick Joseph,PD,"12,893",9.8,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Jean Willy Jean-Baptiste,RDNP,"8,513",6.5,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,Patrice Israel,Fanmi Lavalas,"5,854",4.5,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,9 others,,"11,416",8.7,,,,
SENATE 1st Round Election,,ARTIBONITE,2016,,,,,,,,
SENATE 1st Round Election,,CENTRE,2016,Rony CELESTIN,PHTK,"25,630",31.7,,,,
SENATE 1st Round Election,,CENTRE,2016,Abel Descollines,KID,"15,259",18.9,,,,
SENATE 1st Round Election,,CENTRE,2016,Bazelais Francois,LAPEH,"9,914",12.3,,,,
SENATE 1st Round Election,,CENTRE,2016,Joseph Joel Louis,KontraPepLa,"7,391",9.2,,,,
SENATE 1st Round Election,,CENTRE,2016,Romial Smith,Fanmi Lavalas,"6,708",8.3,,,,
SENATE 1st Round Election,,CENTRE,2016,Eddy John Marcadieu,PD,"6,112",7.6,,,,
SENATE 1st Round Election,,CENTRE,2016,Francisco Delacruz,OPL,"3,853",4.8,,,,
SENATE 1st Round Election,,CENTRE,2016,3 others,,"4,641",5.8,,,,
SENATE 1st Round Election,,CENTRE,2016,,,,,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Riche ANDRIS,OPL,"17,350",30.8,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Jean Rigaud Belizaire,Consortium,"16,045",28.5,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Vincent Casseus,LAPEH,"5,934",10.5,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Marie Roselore Aubourg,KID,"3,590",6.4,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Jean Joubert Michel,PD,"2,420",4.3,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Frederic Cheron,,"2,419",4.3,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,Guibert Barthelemy,Fanmi Lavalas,"2,321",4.1,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,5 others,,"4,799",8.5,,,,
SENATE 1st Round Election,,GRAND ANSE,2016,,,,,,,,
SENATE 1st Round Election,,NIPPES,2016,Denis Cadeau,Bouclier,"10,320",21.1,,,,
SENATE 1st Round Election,,NIPPES,2016,Louberson Vilson,Fanmi Lavalas,"10,296",21,,,,
SENATE 1st Round Election,,NIPPES,2016,Carme Sineas Dumelfort,PHTK,"9,358",19.1,,,,
SENATE 1st Round Election,,NIPPES,2016,Dieusseul Arice,Concorde,"8,991",18.4,,,,
SENATE 1st Round Election,,NIPPES,2016,Lubern Pierre,Fusion,"6,532",13.3,,,,
SENATE 1st Round Election,,NIPPES,2016,Michelet Casimir,PD,"2,157",4.4,,,,
SENATE 1st Round Election,,NIPPES,2016,Nickel Pierre,Renmen Ayiti,747,1.5,,,,
SENATE 1st Round Election,,NIPPES,2016,Vladimir Yayo,APLA,186,0.4,,,,
SENATE 1st Round Election,,NIPPES,2016,,,,,,,,
SENATE 1st Round Election,,NORD,2016,Jean Marie Ralph FETHIERE,PHTK,"47,997",35.7,,,,
SENATE 1st Round Election,,NORD,2016,Theodore Saintilus,PD,"18,891",14,,,,
SENATE 1st Round Election,,NORD,2016,Frandy Louis,Bouclier,"15,558",11.6,,,,
SENATE 1st Round Election,,NORD,2016,Sergilus Docteur,Verite,"14,495",10.8,,,,
SENATE 1st Round Election,,NORD,2016,Westner Polycarpe,MRA,"6,867",5.1,,,,
SENATE 1st Round Election,,NORD,2016,Hidson Nelson,PF,"6,693",5,,,,
SENATE 1st Round Election,,NORD,2016,Angelot Bell,Fanmi Lavalas,"5,158",3.8,,,,
SENATE 1st Round Election,,NORD,2016,9 others,,"17,197",12.8,,,,
SENATE 1st Round Election,,NORD,2016,,,,,,,,
SENATE 1st Round Election,,NORD EST,2016,Wanique PIERRE,PHTK,"42,436",58.7,,,,
SENATE 1st Round Election,,NORD EST,2016,Jean-Baptiste Bien-Aime,Fanmi Lavalas,"18,530",25.7,,,,
SENATE 1st Round Election,,NORD EST,2016,Duchene Petit Frere,PD,"5,821",8.1,,,,
SENATE 1st Round Election,,NORD EST,2016,Enance Saint Fleur,OPL,"2,135",3,,,,
SENATE 1st Round Election,,NORD EST,2016,Renan Etienne,LAPEH,"1,987",2.8,,,,
